Page Number,Product Page URL,Entry Number
1,https://www.newegg.com/wd8001purp-20pk-8tb/p/N82E16822234510?Item=N82E16822234510,1
1,https://www.newegg.com/wd84purz-20pk-8tb/p/N82E16822234511?Item=N82E16822234511,2
1,https://www.newegg.com/seagate-ironwolf-st6000vn001-20pk-6tb/p/N82E16822185044?Item=N82E16822185044,3
1,https://www.newegg.com/p/1Z4-06DY-00013?Item=1Z4-06DY-00013,4
1,https://www.newegg.com/p/1Z4-06DY-00014?Item=1Z4-06DY-00014,5
1,https://www.newegg.com/p/1Z4-0019-00021?Item=1Z4-0019-00021,6
1,https://www.newegg.com/seagate-ironwolf-st3000vn007-20pk-3tb/p/N82E16822185042?Item=N82E16822185042,7
1,https://www.newegg.com/p/1Z4-0015-00260?Item=1Z4-0015-00260,8
1,https://www.newegg.com/p/1Z4-0019-00018?Item=1Z4-0019-00018,9
1,https://www.newegg.com/p/1Z4-000P-03DN6?Item=1Z4-000P-03DN6,10
1,https://www.newegg.com/p/1Z4-000P-03DP5?Item=1Z4-000P-03DP5,11
1,https://www.newegg.com/western-digital-purple-wd22purz-20pk-2tb/p/N82E16822234508?Item=N82E16822234508,12
1,https://www.newegg.com/p/1Z4-008D-00003?Item=1Z4-008D-00003,13
1,https://www.newegg.com/p/1Z4-008D-00002?Item=1Z4-008D-00002,14
1,https://www.newegg.com/p/1Z4-001J-00D69?Item=1Z4-001J-00D69,15
1,https://www.newegg.com/p/1Z4-00J6-004Y1?Item=1Z4-00J6-004Y1,16
1,https://www.newegg.com/p/1Z4-00A7-00068?Item=1Z4-00A7-00068,17
1,https://www.newegg.com/p/1Z4-008D-00004?Item=1Z4-008D-00004,18
1,https://www.newegg.com/p/1Z4-0050-000D8?Item=1Z4-0050-000D8,19
1,https://www.newegg.com/dell-400-azil-800gb/p/1Z4-000J-02WM2?Item=1Z4-000J-02WM2,20
1,https://www.newegg.com/p/1Z4-0019-00019?Item=1Z4-0019-00019,21
1,https://www.newegg.com/p/1Z4-000P-03512?Item=1Z4-000P-03512,22
1,https://www.newegg.com/p/1Z4-000P-00T78?Item=1Z4-000P-00T78,23
1,https://www.newegg.com/p/1Z4-000G-00GY2?Item=1Z4-000G-00GY2,24
1,https://www.newegg.com/p/1A0-002T-00034R?Item=1A0-002T-00034R,25
1,https://www.newegg.com/p/1Z4-000G-00H17?Item=1Z4-000G-00H17,26
1,https://www.newegg.com/p/1Z4-001J-00D75?Item=1Z4-001J-00D75,27
1,https://www.newegg.com/seagate-skyhawk-surveillance-spz-63h3ts-us-6tb/p/N82E16822185045?Item=N82E16822185045,28
1,https://www.newegg.com/apricorn-adt-3pl256f-10tb/p/1Z4-0050-00022?Item=1Z4-0050-00022,29
1,https://www.newegg.com/p/1Z4-000P-00TS3?Item=1Z4-000P-00TS3,30
1,https://www.newegg.com/p/1Z4-0019-00017?Item=1Z4-0019-00017,31
1,https://www.newegg.com/p/1Z4-005E-00017?Item=1Z4-005E-00017,32
1,https://www.newegg.com/hp-652757-b21-2tb-hard-drives/p/N82E16822332165R?Item=N82E16822332165R,33
1,https://www.newegg.com/hp-p2000-ap858a-300gb/p/N82E16822332076R?Item=N82E16822332076R,34
1,https://www.newegg.com/p/1Z4-000P-00181?Item=1Z4-000P-00181,35
1,https://www.newegg.com/toshiba-n300-hdwg31gxzsta-16tb/p/N82E16822149795?Item=N82E16822149795,36
1,https://www.newegg.com/p/1Z4-000J-03VZ4?Item=1Z4-000J-03VZ4,37
1,https://www.newegg.com/p/1Z4-000R-00BC9?Item=1Z4-000R-00BC9,38
1,https://www.newegg.com/seagate-skyhawk-surveillance-st6000vx001-2ly186-6tb/p/N82E16822185054?Item=N82E16822185054,39
1,https://www.newegg.com/seagate-ironwolf-pro-st20000ne000-20tb/p/N82E16822185007?Item=N82E16822185007,40
1,https://www.newegg.com/hp-652757-s21-2tb/p/12K-0019-000S3R?Item=12K-0019-000S3R,41
1,https://www.newegg.com/fantom-drives-wd-gold-wd181kryz-18tb/p/1Z4-00D4-000M0?Item=1Z4-00D4-000M0,42
